,order_id,customer_unique_id,customer_city,customer_state,order_purchase_timestamp,product_category_name_english,price,freight_value,Order_Value,payment_type,review_score,Delivery_Days,customer_id,order_status,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_zip_code_prefix,order_item_id,product_id,seller_id,shipping_limit_date,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,payment_sequential,payment_installments,payment_value,review_id,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,Year,Month,Day
count,115723,115723,115723,115723,115723,115723,115723.0,115723.0,115723.0,115723,115723.0,115715.0,115723,115723,115708,115721,115715,115723,115723.0,115723.0,115723,115723,115723,115723,115723.0,115723.0,115723.0,115723.0,115723.0,115723.0,115723.0,115723.0,115723.0,115723.0,115723,115723,115723,115723,115723,115723.0,115723.0,115723.0
unique,96478,93358,4085,27,,71,,,,4,,,96478,1,,,,,,,32216,2970,91344,73,,,,,,,,,,,95647,4365,34439,627,95493,,,
top,895ab968e7bb0d5659d16cd74cd1650c,9a736b248f67d166d2fbb006bcb877c3,sao paulo,SP,,bed_bath_table,,,,credit_card,,,270c23a11d024a44c896d1894b261a83,delivered,,,,,,,aca2eb7d00ea1a7b8ebd4e68314663af,4a3ca9315b744ce9f8e9374361493884,2017-08-14 20:43:31,cama_mesa_banho,,,,,,,,,,,eef5dbca8d37dfce6db7d7b16dd0525e,Recomendo,Muito bom,2017-12-19 00:00:00,2017-08-17 22:17:55,,,
freq,63,75,18299,48816,,13475,,,,85375,,,63,115723,,,,,,,529,2116,63,13452,,,,,,,,,,,924,102633,67887,1395,924,,,
mean,,,,,2017-12-31 09:55:44.254227,,119.91109571995196,19.98139954892286,139.89249526887482,,4.087329225823734,12.022227023289979,,,2017-12-31 21:21:18.761848,2018-01-03 16:51:13.936606,2018-01-12 21:28:02.115793,2018-01-24 06:03:00.866379,35079.6795191967,1.1970481235363757,,,,,48.84792997070591,782.2383450135237,2.189331420720168,2105.417367334065,30.23826724160279,16.579262549363566,23.06451612903226,1.0912696698149893,2.9405476871494862,171.80914252136566,,,,,,2017.5398235441528,6.032508662927854,15.553813848586712
min,,,,,2016-09-15 12:16:38,,0.85,0.0,6.08,,1.0,0.0,,,2016-09-15 12:16:38,2016-10-08 10:34:01,2016-10-11 13:46:32,2016-10-04 00:00:00,1003.0,1.0,,,,,5.0,4.0,1.0,0.0,7.0,2.0,6.0,1.0,0.0,0.0,,,,,,2016.0,1.0,1.0
25%,,,,,2017-09-12 18:16:08,,39.9,13.08,55.22,,4.0,6.0,,,2017-09-13 03:36:11.750000,2017-09-14 22:57:45,2017-09-22 22:27:34.500000,2017-10-04 00:00:00,11310.0,1.0,,,,,43.0,348.0,1.0,300.0,18.0,8.0,15.0,1.0,1.0,60.85,,,,,,2017.0,3.0,8.0
50%,,,,,2018-01-18 21:40:03,,74.9,16.28,91.79,,5.0,10.0,,,2018-01-19 10:55:43,2018-01-23 17:36:51,2018-02-01 11:07:13,2018-02-15 00:00:00,24320.0,1.0,,,,,52.0,600.0,1.0,700.0,25.0,13.0,20.0,1.0,2.0,108.11,,,,,,2018.0,6.0,16.0
75%,,,,,2018-05-04 10:29:14,,132.9,21.16,157.22,,5.0,15.0,,,2018-05-04 17:10:04,2018-05-07 16:31:00,2018-05-15 00:17:16.500000,2018-05-25 00:00:00,58805.5,1.0,,,,,57.0,977.0,3.0,1800.0,38.0,20.0,30.0,1.0,4.0,188.94,,,,,,2018.0,8.0,23.0
max,,,,,2018-08-29 15:00:37,,6735.0,409.68,6929.31,,5.0,209.0,,,2018-08-29 15:10:26,2018-09-11 19:48:28,2018-10-17 13:22:46,2018-10-25 00:00:00,99980.0,21.0,,,,,76.0,3992.0,20.0,40425.0,105.0,105.0,118.0,26.0,24.0,13664.08,,,,,,2018.0,12.0,31.0
std,,,,,,,182.67025202590224,15.718289964154952,189.7224993302367,,1.3449597150369232,9.454635064538783,,,,,,,29855.20146123594,0.7012206545089427,,,,,9.952587986837992,646.2910473106074,1.7116896664048136,3772.2999750665463,16.125290214720856,13.418764298187675,11.731147986044142,0.6867283342125945,2.7760791738477835,265.6393734692435,,,,,,0.5042398415892702,3.229683822494776,8.663459262005025
